country,series_code,indicator_name,year_1980,value_1980,year_2018,value_2018,pipwelfare_1980,pipwelfare_2018,pipreportinglevel_1980,pipreportinglevel_2018,region,population_1980,population_2018
Argentina,gini_pip_disposable_perCapita,gini,1980,0.40830859541893005,2018,0.4172038435935974,income,income,urban,urban,LAC,28024808,44413592
Australia,gini_pip_disposable_perCapita,gini,1981,0.3132578730583191,2018,0.34333762526512146,income,income,national,national,W. Eur and Offshoots,14706329,24979228
Bangladesh,gini_pip_disposable_perCapita,gini,1983,0.2587648928165436,2016,0.3238527178764343,consumption,consumption,national,national,S & SE Asia,83929768,163683952
Belgium,gini_pip_disposable_perCapita,gini,1985,0.25203850865364075,2018,0.2721441388130188,income,income,national,national,W. Eur and Offshoots,9828989,11448598
Botswana,gini_pip_disposable_perCapita,gini,1985,0.5421210527420044,2015,0.5332502722740173,consumption,consumption,national,national,SS Africa,938582,2451411
Brazil,gini_pip_disposable_perCapita,gini,1981,0.5793085098266602,2018,0.5389237403869629,income,income,national,national,LAC,122288384,210166592
Canada,gini_pip_disposable_perCapita,gini,1979,0.3347417116165161,2018,0.32509270310401917,income,income,national,national,W. Eur and Offshoots,24511512,37035260
China,gini_pip_disposable_perCapita,gini,1981,0.2816409766674042,2018,0.38497641682624817,income,consumption,national,national,East Asia,982372480,1417069440
Colombia,gini_pip_disposable_perCapita,gini,1980,0.5912672877311707,2018,0.5041870474815369,income,income,urban,national,LAC,26176206,49276968
Costa Rica,gini_pip_disposable_perCapita,gini,1981,0.47494763135910034,2018,0.47972404956817627,income,income,national,national,LAC,2414306,5040738
Cote d'Ivoire,gini_pip_disposable_perCapita,gini,1985,0.455262690782547,2018,0.37168875336647034,consumption,consumption,national,national,SS Africa,8303818,25493990
Ethiopia,gini_pip_disposable_perCapita,gini,1981,0.3242495656013489,2015,0.3499312400817871,consumption,consumption,rural,national,SS Africa,34945472,111129440
France,gini_pip_disposable_perCapita,gini,1979,0.34042617678642273,2018,0.32380688190460205,income,income,national,national,W. Eur and Offshoots,53713836,64277812
India,gini_pip_disposable_perCapita,gini,1977,0.3321363031864166,2018,0.34544843435287476,consumption,consumption,national,national,S & SE Asia,696828352,1369003264
Indonesia,gini_pip_disposable_perCapita,gini,1984,0.3345597982406616,2018,0.38410377502441406,consumption,consumption,national,national,S & SE Asia,148177104,267066848
Israel,gini_pip_disposable_perCapita,gini,1979,0.36329975724220276,2018,0.3857717514038086,income,income,national,national,MENA,3744612,8456487
Italy,gini_pip_disposable_perCapita,gini,1980,0.32899266481399536,2018,0.35222572088241577,income,income,national,national,W. Eur and Offshoots,56329480,59877432
Luxembourg,gini_pip_disposable_perCapita,gini,1985,0.2629435658454895,2018,0.35368093848228455,income,income,national,national,W. Eur and Offshoots,363745,607920
Malaysia,gini_pip_disposable_perCapita,gini,1984,0.4862481355667114,2018,0.41176775097846985,income,income,national,national,S & SE Asia,13215709,32399270
Mexico,gini_pip_disposable_perCapita,gini,1984,0.48527011275291443,2018,0.45955243706703186,income,income,national,national,LAC,67705184,124013864
Morocco,gini_pip_disposable_perCapita,gini,1984,0.3918663561344147,2013,0.3954850733280182,consumption,consumption,national,national,MENA,19678446,35927516
Netherlands,gini_pip_disposable_perCapita,gini,1983,0.28366053104400635,2018,0.2812108099460602,income,income,national,national,W. Eur and Offshoots,14130383,17286042
Nigeria,gini_pip_disposable_perCapita,gini,1985,0.38677850365638733,2018,0.3512774407863617,consumption,consumption,national,national,SS Africa,72951440,198387616
Norway,gini_pip_disposable_perCapita,gini,1979,0.2689476013183594,2018,0.275608628988266,income,income,national,national,W. Eur and Offshoots,4085778,5312321
Panama,gini_pip_disposable_perCapita,gini,1979,0.48740142583847046,2018,0.4921247363090515,income,income,national,national,LAC,1956989,4165258
Philippines,gini_pip_disposable_perCapita,gini,1985,0.41037434339523315,2018,0.37811705470085144,consumption,consumption,national,national,S & SE Asia,48419544,108568832
Poland,gini_pip_disposable_perCapita,gini,1985,0.2516496479511261,2018,0.30215439200401306,income,income,national,national,EE & CA,35521432,38521464
Rwanda,gini_pip_disposable_perCapita,gini,1984,0.288985937833786,2016,0.43710047006607056,consumption,consumption,rural,national,SS Africa,5247537,12531810
Spain,gini_pip_disposable_perCapita,gini,1980,0.34483546018600464,2018,0.3471894860267639,income,income,national,national,W. Eur and Offshoots,37491664,46792044
Sri Lanka,gini_pip_disposable_perCapita,gini,1985,0.32467854022979736,2019,0.3766377568244934,consumption,consumption,national,national,S & SE Asia,14943644,21580712
Sweden,gini_pip_disposable_perCapita,gini,1981,0.22923573851585388,2018,0.2997418940067291,income,income,national,national,W. Eur and Offshoots,8311761,10162300
Switzerland,gini_pip_disposable_perCapita,gini,1982,0.3600737452507019,2018,0.3314104974269867,income,income,national,national,W. Eur and Offshoots,6319116,8514431
Taiwan,gini_pip_disposable_perCapita,gini,1981,0.29969483613967896,2018,0.3163367509841919,income,income,national,national,East Asia,18100280,23726186
Thailand,gini_pip_disposable_perCapita,gini,1981,0.45216822624206543,2018,0.3641217350959778,consumption,consumption,national,national,S & SE Asia,45737756,71127808
Tunisia,gini_pip_disposable_perCapita,gini,1985,0.43433767557144165,2021,0.3371642529964447,consumption,consumption,national,national,MENA,6578159,11933040
United Kingdom,gini_pip_disposable_perCapita,gini,1980,0.2847789227962494,2018,0.33691057562828064,income,income,national,national,W. Eur and Offshoots,56326328,66432996
United States,gini_pip_disposable_perCapita,gini,1980,0.3471840023994446,2018,0.4140784442424774,income,income,national,national,W. Eur and Offshoots,223140016,332140032
Uruguay,gini_pip_disposable_perCapita,gini,1981,0.43645429611206055,2018,0.3968724012374878,income,income,urban,national,LAC,2953754,3427044
Afghanistan,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.5245238542556763,2018,0.5153931379318237,,,,,S & SE Asia,12486640,36686788
Albania,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.46762990951538086,2018,0.47719037532806396,,,,,EE & CA,2941650,2877019
Algeria,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.6086116433143616,2018,0.4879855513572693,,,,,MENA,18739378,41927008
Angola,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.6824657917022705,2018,0.6855968236923218,,,,,SS Africa,8330053,31273538
Argentina,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.642061173915863,2018,0.5596411228179932,,,,,LAC,28024808,44413592
Armenia,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.5884222388267517,2018,0.5398642420768738,,,,,EE & CA,3135123,2836563
Australia,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.42002809047698975,2018,0.47978049516677856,,,,,W. Eur and Offshoots,14706329,24979228
Austria,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.44288620352745056,2018,0.43287503719329834,,,,,W. Eur and Offshoots,7547564,8840518
Azerbaijan,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.5556126236915588,2018,0.4777764678001404,,,,,EE & CA,6383063,10152524
Bahamas,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.6757267713546753,2018,0.6507277488708496,,,,,LAC,223761,401911
Bahrain,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.6506374478340149,2018,0.6628177762031555,,,,,MENA,362600,1487346
Bangladesh,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.47316956520080566,2018,0.5300085544586182,,,,,S & SE Asia,83929768,163683952
Belarus,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.3885888159275055,2018,0.42885828018188477,,,,,EE & CA,9817256,9695573
Belgium,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.42322906851768494,2018,0.4472326636314392,,,,,W. Eur and Offshoots,9828989,11448598
Belize,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.6757267713546753,2018,0.6507276892662048,,,,,LAC,145147,382076
Benin,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.5908709168434143,2018,0.5783458352088928,,,,,SS Africa,3833947,11940688
Bhutan,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.6104916930198669,2018,0.5489068627357483,,,,,S & SE Asia,415266,762104
Bolivia,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.6757267713546753,2018,0.6507277488708496,,,,,LAC,5736092,11606906
Bosnia and Herzegovina,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.38900285959243774,2018,0.4830724895000458,,,,,EE & CA,4199816,3400132
